region,industry,coverage,mean_daily_cnt,visitor_share,n_days,rain_light_pct,rain_light_p,rain_heavy_pct,rain_heavy_p,heat_day_pct,heat_day_p,rain_light_q,rain_heavy_q,heat_day_q
강원 춘천시,LPG가스,1.0,3173.7,0.083,184,-2.545,0.1952,-6.2992,0.0001,2.3647,0.0818,0.3407,0.0005,0.3739
강원 춘천시,가구,0.995,85.4,0.08,183,-0.1687,0.9934,-23.9616,0.3747,46.5574,0.1086,0.9934,0.5103,0.4293
강원 춘천시,가전,1.0,242.4,0.096,184,-16.4097,0.1405,-0.0249,0.9986,9.2052,0.5368,0.3266,0.9986,0.7157
강원 춘천시,게임방/오락실,1.0,2969.9,0.214,184,1.5334,0.5443,6.1063,0.0398,1.9277,0.403,0.6486,0.1062,0.6561
강원 춘천시,기타식품,1.0,11966.7,0.221,184,-4.6419,0.148,-8.2974,0.0523,2.3211,0.5262,0.3266,0.1289,0.7157
강원 춘천시,기타요식,1.0,22466.7,0.226,184,-1.3352,0.4347,-9.1619,0.0,6.977,0.0354,0.5956,0.0003,0.2669
강원 춘천시,기타유통,1.0,850.5,0.13,184,-15.7077,0.0741,-27.5191,0.0,22.4188,0.0375,0.2635,0.0003,0.2669
강원 춘천시,기타의료,0.995,510.4,0.175,183,-2.8077,0.8543,-27.5903,0.2254,-8.1062,0.6007,0.9112,0.3435,0.7539
강원 춘천시,노래방,1.0,1373.8,0.133,184,10.1977,0.0474,6.0889,0.3868,-4.3557,0.4395,0.2002,0.5157,0.6561
강원 춘천시,농수산물,1.0,1624.0,0.101,184,-10.2968,0.1195,-19.0197,0.0046,6.7042,0.3863,0.3169,0.0198,0.6561
강원 춘천시,독서실,0.967,36.1,0.043,178,33.0614,0.1933,18.4568,0.57,-28.4243,0.3275,0.3407,0.6574,0.6561
강원 춘천시,동물병원,1.0,316.0,0.086,184,-16.1154,0.0186,-6.7146,0.4534,-7.7816,0.403,0.132,0.558,0.6561
강원 춘천시,"모텔,여관,기타숙박",1.0,460.7,0.699,184,0.5421,0.9411,-10.5446,0.0877,20.2207,0.1195,0.9714,0.1701,0.4293
강원 춘천시,문화용품,1.0,271.7,0.37,184,-8.4198,0.5472,26.2243,0.3624,51.0204,0.107,0.6486,0.5043,0.4293
강원 춘천시,미용서비스,1.0,45.5,0.072,184,7.5554,0.5937,-7.0763,0.7181,21.7886,0.2713,0.6909,0.7813,0.6561
강원 춘천시,미용실,1.0,2543.7,0.076,184,-11.6459,0.197,-7.268,0.1242,1.3178,0.8377,0.3407,0.2242,0.8935
강원 춘천시,사무기기/문구용품,1.0,947.8,0.129,184,-11.4732,0.0502,-14.2164,0.0045,-6.091,0.304,0.2002,0.0198,0.6561
강원 춘천시,생활잡화/수입상품점,1.0,2262.0,0.143,184,-13.6068,0.0161,-12.9557,0.0097,4.831,0.5804,0.1287,0.0312,0.7429
강원 춘천시,서점,1.0,370.5,0.125,184,-12.2491,0.1069,-17.1736,0.0679,9.0983,0.3593,0.3109,0.1423,0.6561
강원 춘천시,세탁소,1.0,782.2,0.09,184,-19.5942,0.0095,-30.0282,0.0,-21.1522,0.0474,0.1019,0.0,0.3035
강원 춘천시,수제용품점,0.962,138.2,0.369,177,-17.8001,0.2242,21.532,0.4351,12.2464,0.5354,0.3776,0.546,0.7157
강원 춘천시,스포츠/레저용품,1.0,1447.4,0.102,184,-11.3703,0.002,-11.5673,0.0258,7.9553,0.1709,0.0638,0.0752,0.521
강원 춘천시,스포츠시설,1.0,1403.4,0.317,184,-2.1593,0.6947,0.8651,0.9214,19.2921,0.1341,0.7666,0.936,0.4293
강원 춘천시,시계/귀금속,1.0,317.4,0.184,184,-23.358,0.0844,-12.1377,0.4237,-1.4366,0.9451,0.2702,0.5423,0.9601
강원 춘천시,실내/실외골프장,1.0,1882.0,0.784,184,-25.3425,0.0078,-57.303,0.0,-23.5597,0.0008,0.0998,0.0,0.0518
강원 춘천시,싸우나/목욕탕,1.0,880.2,0.221,184,-3.3185,0.5394,8.9294,0.1055,-5.3347,0.3186,0.6486,0.1987,0.6561
강원 춘천시,안마/마사지,0.989,32.2,0.2,182,-18.4246,0.1238,-20.1504,0.3505,-37.7701,0.0207,0.3169,0.4984,0.2669
강원 춘천시,애완동물,1.0,508.6,0.088,184,-3.4815,0.6929,-12.2194,0.0611,6.7561,0.5234,0.7666,0.1397,0.7157
강원 춘천시,약국,1.0,10774.4,0.089,184,-1.9772,0.4467,-4.7664,0.0821,-0.7624,0.7924,0.5956,0.1641,0.8715
강원 춘천시,양식,1.0,1772.4,0.205,184,-3.1906,0.2716,-7.0213,0.0283,7.5976,0.0266,0.4457,0.0789,0.2669
강원 춘천시,연구/번역서비스,1.0,133.1,0.445,184,-14.8273,0.3715,-31.2058,0.0689,16.6594,0.4408,0.5661,0.1423,0.6561
강원 춘천시,영화/공연,1.0,469.3,0.142,184,-1.2125,0.8693,9.8675,0.2035,3.7493,0.6522,0.9121,0.3257,0.8015
강원 춘천시,예식장/결혼서비스,0.967,59.6,0.089,178,-21.4552,0.3001,19.0836,0.4141,15.2902,0.6724,0.4684,0.5409,0.8015
강원 춘천시,완구/아동용자전거,1.0,2215.5,0.179,184,-5.146,0.4417,-10.7133,0.1953,25.2735,0.0267,0.5956,0.3205,0.2669
강원 춘천시,유흥업소,1.0,299.3,0.143,184,-1.9631,0.6909,-4.5723,0.5752,-5.9474,0.4809,0.7666,0.6574,0.6995
강원 춘천시,의복/의류,1.0,1208.7,0.105,184,-12.7189,0.0154,-23.0238,0.0001,3.0225,0.7326,0.1287,0.0004,0.8372
강원 춘천시,인테리어/건축자재/주방기구,1.0,979.9,0.112,184,-23.6824,0.0359,-26.0967,0.005,-7.8646,0.4341,0.2002,0.0198,0.6561
강원 춘천시,일반병원,1.0,7749.7,0.099,184,-10.4449,0.1417,-9.0439,0.1618,1.1629,0.8034,0.3266,0.2782,0.8715
강원 춘천시,일식,1.0,1581.9,0.177,184,-8.9283,0.0051,-13.4264,0.0002,4.1171,0.2417,0.0824,0.0009,0.6524
강원 춘천시,자동차서비스,1.0,1030.1,0.083,184,-19.191,0.0841,-17.1379,0.0089,-2.0648,0.7957,0.2702,0.0312,0.8715
강원 춘천시,자동차용품,1.0,461.8,0.072,184,-13.5812,0.1823,-3.2271,0.7846,10.134,0.4033,0.3407,0.8196,0.6561
강원 춘천시,장례식장/묘지/장의사,0.984,37.3,0.492,181,-25.6918,0.4727,-68.3119,0.0151,54.1992,0.4254,0.6175,0.046,0.6561
강원 춘천시,정육점,1.0,1510.2,0.112,184,-9.0117,0.1891,-11.2737,0.2245,3.4852,0.6948,0.3407,0.3435,0.8084
강원 춘천시,제과점,1.0,5936.2,0.146,184,-2.7692,0.1453,-5.454,0.0096,-1.5052,0.5607,0.3266,0.0312,0.7323
강원 춘천시,종합레저타운/놀이동산,1.0,2007.4,0.8,184,-29.1926,0.0487,-45.8018,0.0009,23.2767,0.2927,0.2002,0.0048,0.6561
강원 춘천시,종합병원,1.0,2356.5,0.132,184,12.8482,0.1147,-1.9158,0.792,17.0786,0.0671,0.3169,0.8196,0.3304
강원 춘천시,주유소,1.0,13871.6,0.149,184,-6.5385,0.001,-13.6474,0.0,2.915,0.1296,0.0638,0.0,0.4293
강원 춘천시,주차장,1.0,442.2,0.215,184,-3.4242,0.7425,16.5814,0.266,1.5453,0.9394,0.8054,0.3958,0.9601
강원 춘천시,중고품판매점,0.989,57.5,0.041,182,-10.0858,0.52,-31.6737,0.0418,-16.4127,0.4004,0.6486,0.1071,0.6561
강원 춘천시,중식,1.0,3284.5,0.155,184,-4.5079,0.0532,-2.2677,0.3113,4.6379,0.2542,0.2002,0.4528,0.6524
강원 춘천시,치과병원,1.0,1068.4,0.076,184,-27.8563,0.0477,-11.6313,0.1652,-31.2282,0.0035,0.2002,0.2782,0.1052
강원 춘천시,커피전문점,1.0,11486.8,0.196,184,-5.4026,0.0039,-16.6337,0.0,9.1619,0.0049,0.0824,0.0,0.1052
강원 춘천시,컴퓨터/소프트웨어,0.978,46.8,0.075,180,-0.9404,0.9648,8.9556,0.794,42.3378,0.1947,0.9801,0.8196,0.5663
강원 춘천시,패션잡화,1.0,584.8,0.094,184,-16.385,0.0385,-14.4455,0.0087,16.8298,0.1211,0.2002,0.0312,0.4293
