region,s1_all_amt,s1_all_cnt,date,s1_cons_amt,s1_cons_cnt,s2_amt,s2_cnt,s2_local_amt,s2_unknown_amt,s2_visitor_amt,s2_local_cnt,s2_unknown_cnt,s2_visitor_cnt,s2c_amt,s2c_cnt,s2c_local_amt,s2c_unknown_amt,s2c_visitor_amt,s2c_local_cnt,s2c_unknown_cnt,s2c_visitor_cnt,month,weekday,is_weekend,is_holiday,sk_flow_baseline,temp_mean,temp_max,temp_min,precip_sum,precip_max_1h,rain_hours,wind_max,wind_mean,humidity_mean,n_hours,heat_day,tropical_night,cold_day,rain_day,heavy_rain_day
강원 춘천시,11838895220,271129,2025-07-01,9837406760,256297,9837406760,256203,7294233415,6349235,2536824110,222501,149,33553,8155332793,249967,7000863259,6248481,1148221053,217553,144,32270,202507,1,False,False,1810564.42,27.316666666666666,32.5,22.9,1.2999999999999998,0.7,2,3.2,1.4875,80.45833333333333,24,False,False,False,True,False
강원 춘천시,10649095944,275272,2025-07-02,8863857611,259602,8863857627,259472,6985583909,2781313,1875492405,223474,122,35876,7756297739,253450,6590622341,2781313,1162894085,218538,122,34790,202507,2,False,False,1807389.46,27.766666666666666,31.4,24.4,0.0,0.0,0,2.9,1.4875,77.70833333333333,24,False,False,False,False,False
강원 춘천시,9799565165,275982,2025-07-03,7924855447,260455,7924855467,260324,6743871312,2830563,1178153592,223791,139,36394,7725332287,255176,6616034799,2748870,1106548618,219790,134,35252,202507,3,False,False,1799173.75,27.733333333333334,31.2,24.2,0.0,0.0,0,3.0,1.4916666666666665,76.25,24,False,False,False,False,False
강원 춘천시,10641504325,286307,2025-07-04,9103802488,271715,9103802482,271573,7331651186,4166415,1767984881,231570,194,39809,8988031823,265935,7252882952,4166415,1730982456,227011,194,38730,202507,4,False,False,1885613.34,25.46666666666667,27.8,24.4,1.7,0.9,4,3.1,1.4708333333333332,81.16666666666667,24,False,False,False,True,False
강원 춘천시,11525475538,323970,2025-07-05,10393978828,315227,10393978823,315083,7857277389,9635748,2527065686,250010,199,64874,10125089106,308009,7767092664,9401562,2348594880,244719,194,63096,202507,5,True,False,1837954.5,27.483333333333334,31.1,24.9,0.0,0.0,0,2.6,1.3666666666666665,75.83333333333333,24,False,False,False,False,False
강원 춘천시,7785646253,256240,2025-07-06,7149081641,249727,7149081660,249607,5429678953,4332721,1715069986,199453,157,49997,7067788056,244360,5393836463,4207459,1669744134,195492,146,48722,202507,6,True,False,1644324.31,27.495833333333334,30.0,25.1,0.0,0.0,0,2.6,1.3833333333333335,78.16666666666667,24,False,True,False,False,False
강원 춘천시,10014363155,273289,2025-07-07,8383055388,259539,8383055386,259413,6963860990,4748251,1414446145,222661,149,36603,7887313833,253761,6608244469,4748251,1274321113,217857,149,35755,202507,0,False,False,1810625.62,29.708333333333332,34.7,25.9,0.0,0.0,0,2.4,1.4375,75.0,24,True,True,False,False,False
강원 춘천시,9683033805,270386,2025-07-08,7983727070,254957,7983727073,254842,6732249835,4579244,1246897994,217678,149,37015,7644269650,249210,6454290515,4579244,1185399891,212955,149,36106,202507,1,False,False,1810564.42,29.666666666666668,36.5,24.7,0.0,0.0,0,5.0,1.9583333333333333,71.54166666666667,24,True,False,False,False,False
강원 춘천시,9513408742,269020,2025-07-09,7848169124,253220,7848169107,253075,6545261024,9508217,1293399866,217105,172,35798,7556398517,247225,6296550592,9508217,1250339708,212371,172,34682,202507,2,False,False,1807389.46,29.962500000000002,35.5,24.6,0.0,0.0,0,3.7,2.433333333333333,61.75,24,True,False,False,False,False
강원 춘천시,11001245453,274817,2025-07-10,9147385380,259293,9147385370,259201,7836473432,3781653,1307130285,222565,143,36493,7589777161,253230,6384073039,3781653,1201922469,217834,143,35253,202507,3,False,False,1799173.75,28.391666666666666,34.3,22.9,0.0,0.0,0,4.6,2.6666666666666665,53.541666666666664,24,True,False,False,False,False
