TA_YMD,MCT_SGG_CD,TS_AT,USE_CNT
20250701,강원 춘천시,11838895220,271129
20250701,서울 강남구,186414299211,3277657
20250702,강원 춘천시,10649095944,275272
20250702,서울 강남구,153022315924,3206176
20250703,강원 춘천시,9799565165,275982
20250703,서울 강남구,154164887532,3187737
20250704,강원 춘천시,10641504325,286307
20250704,서울 강남구,333474951563,3316880
20250705,강원 춘천시,11525475538,323970
20250705,서울 강남구,96878730136,2887651
20250706,강원 춘천시,7785646253,256240
20250706,서울 강남구,66471430270,2471076
20250707,강원 춘천시,10014363155,273289
20250707,서울 강남구,166965649772,3146894
20250708,강원 춘천시,9683033805,270386
20250708,서울 강남구,154531902665,3008944
20250709,강원 춘천시,9513408742,269020
20250709,서울 강남구,161591506805,3114988
20250710,강원 춘천시,11001245453,274817
20250710,서울 강남구,228898523445,3481126
20250711,강원 춘천시,11873422637,301020
20250711,서울 강남구,175872101867,3223109
20250712,강원 춘천시,11089861780,328012
20250712,서울 강남구,101564599586,2912727
20250713,강원 춘천시,7232732423,238689
20250713,서울 강남구,67232614677,2379199
20250714,강원 춘천시,21742685148,257967
20250714,서울 강남구,203746628259,3288579
20250715,강원 춘천시,23809163981,264517
20250715,서울 강남구,220214962317,3462186
20250716,강원 춘천시,10019414303,241045
20250716,서울 강남구,152195614539,2792521
20250717,강원 춘천시,8639045319,240774
20250717,서울 강남구,150618404337,2825877
20250718,강원 춘천시,11455302697,285669
20250718,서울 강남구,178761046828,3077889
20250719,강원 춘천시,10198063023,298334
20250719,서울 강남구,93287805772,2718184
20250720,강원 춘천시,7995762876,256964
20250720,서울 강남구,70042685894,2509852
20250721,강원 춘천시,9663881228,275802
20250721,서울 강남구,206498240758,3390102
20250722,강원 춘천시,11153209879,277920
20250722,서울 강남구,206535839551,3125542
20250723,강원 춘천시,11789856334,282342
20250723,서울 강남구,226401723222,3166522
20250724,강원 춘천시,13057269327,289228
20250724,서울 강남구,292910291050,3474915
20250725,강원 춘천시,17417778280,316848
20250725,서울 강남구,396863876100,3886853
20250726,강원 춘천시,12362227656,340366
20250726,서울 강남구,100184967871,2865388
20250727,강원 춘천시,8197051475,266554
20250727,서울 강남구,68017818466,2464201
20250728,강원 춘천시,17530294437,305992
20250728,서울 강남구,253686030688,3162397
20250729,강원 춘천시,24645709973,301545
20250729,서울 강남구,246076728394,3169627
20250730,강원 춘천시,16762160906,304351
20250730,서울 강남구,228539376563,3194378
20250731,강원 춘천시,14864707058,306676
20250731,서울 강남구,307074085252,3331893
20250801,강원 춘천시,12608339628,318548
20250801,서울 강남구,171856666660,3335368
20250802,강원 춘천시,11546086245,331605
20250802,서울 강남구,97268758013,2814718
20250803,강원 춘천시,7916231951,256908
20250803,서울 강남구,62498581294,2317828
20250804,강원 춘천시,11113146618,289154
20250804,서울 강남구,161372193485,3084095
20250805,강원 춘천시,10807457713,287921
20250805,서울 강남구,156219233091,3105591
20250806,강원 춘천시,8562936151,245737
20250806,서울 강남구,661107704742,3051662
20250807,강원 춘천시,10316975758,286324
20250807,서울 강남구,155708126070,3088563
20250808,강원 춘천시,10964224428,307728
20250808,서울 강남구,166941742692,3133669
20250809,강원 춘천시,11078301248,323187
20250809,서울 강남구,92405968092,2748930
20250810,강원 춘천시,7274307216,257652
20250810,서울 강남구,72386927252,2390768
20250811,강원 춘천시,11148811799,284187
20250811,서울 강남구,215063119631,3332891
20250812,강원 춘천시,15738026952,285365
20250812,서울 강남구,159334081713,2998845
20250813,강원 춘천시,17093408853,235254
20250813,서울 강남구,158827996176,2952983
20250814,강원 춘천시,23153014566,294282
20250814,서울 강남구,192296475099,3272164
20250815,강원 춘천시,14819658016,319523
20250815,서울 강남구,82723374344,2586672
20250816,강원 춘천시,11123959764,330719
20250816,서울 강남구,81283979080,2693522
20250817,강원 춘천시,7738545169,260920
20250817,서울 강남구,61048673642,2338065
20250818,강원 춘천시,10554817336,281456
20250818,서울 강남구,196278221337,3453224
20250819,강원 춘천시,10543263964,277747
20250819,서울 강남구,160045322746,3032828
20250820,강원 춘천시,10655463522,276322
