TA_YMD,MCT_SGG_CD,TS_AT,USE_CNT
20250701,강원 춘천시,9837406760,256297
20250701,서울 강남구,162641015798,3005058
20250702,강원 춘천시,8863857611,259602
20250702,서울 강남구,129717582617,2918879
20250703,강원 춘천시,7924855447,260455
20250703,서울 강남구,132507518497,2908634
20250704,강원 춘천시,9103802488,271715
20250704,서울 강남구,153765872654,3055559
20250705,강원 춘천시,10393978828,315227
20250705,서울 강남구,87365790966,2790599
20250706,강원 춘천시,7149081641,249727
20250706,서울 강남구,60478421145,2393032
20250707,강원 춘천시,8383055388,259539
20250707,서울 강남구,147999777320,2892410
20250708,강원 춘천시,7983727070,254957
20250708,서울 강남구,134763804737,2737954
20250709,강원 춘천시,7848169124,253220
20250709,서울 강남구,141321419258,2844470
20250710,강원 춘천시,9147385380,259293
20250710,서울 강남구,204041201680,3206540
20250711,강원 춘천시,10243190586,285397
20250711,서울 강남구,154751586245,2967479
20250712,강원 춘천시,10022636555,319531
20250712,서울 강남구,93313853946,2814938
20250713,강원 춘천시,6555581876,233053
20250713,서울 강남구,60917958224,2304346
20250714,강원 춘천시,19997647419,245146
20250714,서울 강남구,183524687577,3042718
20250715,강원 춘천시,22283092170,249898
20250715,서울 강남구,200261654086,3196303
20250716,강원 춘천시,8401039758,227793
20250716,서울 강남구,132526532767,2544913
20250717,강원 춘천시,7147164600,226880
20250717,서울 강남구,130356907925,2579474
20250718,강원 춘천시,9558071307,271268
20250718,서울 강남구,159058535430,2836625
20250719,강원 춘천시,9345938068,290656
20250719,서울 강남구,85340579888,2627842
20250720,강원 춘천시,7441507858,250439
20250720,서울 강남구,63442429756,2433115
20250721,강원 춘천시,8270719675,262767
20250721,서울 강남구,186605263064,3146314
20250722,강원 춘천시,9076268420,262355
20250722,서울 강남구,183261175677,2861896
20250723,강원 춘천시,10042641530,267070
20250723,서울 강남구,201523151245,2903659
20250724,강원 춘천시,11282704162,273663
20250724,서울 강남구,268352373162,3207161
20250725,강원 춘천시,15662064154,301584
20250725,서울 강남구,365526532792,3642280
20250726,강원 춘천시,11338054047,332122
20250726,서울 강남구,92031668937,2775717
20250727,강원 춘천시,7586543623,261187
20250727,서울 강남구,62071778985,2393964
20250728,강원 춘천시,16061175287,292863
20250728,서울 강남구,225477516576,2937825
20250729,강원 춘천시,22928070553,286921
20250729,서울 강남구,225500580537,2929737
20250730,강원 춘천시,14342252367,289737
20250730,서울 강남구,204198909976,2955005
20250731,강원 춘천시,12763811139,292004
20250731,서울 강남구,250429865306,3090418
20250801,강원 춘천시,10619453673,303587
20250801,서울 강남구,149940768790,3095139
20250802,강원 춘천시,10505407338,323574
20250802,서울 강남구,85306751022,2710017
20250803,강원 춘천시,7421852618,251155
20250803,서울 강남구,56930104040,2246389
20250804,강원 춘천시,9244721062,275470
20250804,서울 강남구,142273037846,2841360
20250805,강원 춘천시,9037090859,272998
20250805,서울 강남구,133822725149,2844302
20250806,강원 춘천시,7155281292,233009
20250806,서울 강남구,123991471892,2797480
20250807,강원 춘천시,8841081081,271222
20250807,서울 강남구,135857925751,2820645
20250808,강원 춘천시,9305884961,292559
20250808,서울 강남구,143810805204,2884737
20250809,강원 춘천시,10041424696,314878
20250809,서울 강남구,84298094884,2655109
20250810,강원 춘천시,6728358492,251644
20250810,서울 강남구,66170249095,2315283
20250811,강원 춘천시,9289874411,269978
20250811,서울 강남구,193802696694,3078579
20250812,강원 춘천시,13867372305,269538
20250812,서울 강남구,140274879966,2729954
20250813,강원 춘천시,15532386971,221726
20250813,서울 강남구,139309091873,2699082
20250814,강원 춘천시,21688954435,279584
20250814,서울 강남구,171777019597,3021851
20250815,강원 춘천시,13934094274,310331
20250815,서울 강남구,75010332729,2497311
20250816,강원 춘천시,10475633723,322682
20250816,서울 강남구,74240053355,2607539
20250817,강원 춘천시,7052513175,254438
20250817,서울 강남구,55273590552,2264421
20250818,강원 춘천시,8663023312,266254
20250818,서울 강남구,175974352610,3200189
20250819,강원 춘천시,8669267251,261994
20250819,서울 강남구,137616025935,2764011
20250820,강원 춘천시,8691509888,260241
20250820,서울 강남구,170484832285,3106722
20250821,강원 춘천시,8280925673,259314
20250821,서울 강남구,157319515988,2885348
20250822,강원 춘천시,10770492469,291326
20250822,서울 강남구,169140558018,2941791
20250823,강원 춘천시,10370793411,321214
20250823,서울 강남구,87440154324,2798378
20250824,강원 춘천시,6637051564,244741
20250824,서울 강남구,60543731836,2337249
20250825,강원 춘천시,10229770554,265210
20250825,서울 강남구,250698619391,3634615
20250826,강원 춘천시,18694147627,254711
20250826,서울 강남구,231123828581,2791083
20250827,강원 춘천시,21169176755,269057
20250827,서울 강남구,225888829273,2977556
20250828,강원 춘천시,17002180418,269013
20250828,서울 강남구,233823246319,2971958
20250829,강원 춘천시,19113143065,294568
20250829,서울 강남구,280002412194,2996436
20250830,강원 춘천시,10737073505,327267
20250830,서울 강남구,93231071532,2758897
20250831,강원 춘천시,7422092561,262395
20250831,서울 강남구,64655354513,2389734
20250901,강원 춘천시,8890663122,263059
20250901,서울 강남구,208313876151,3022433
20250902,강원 춘천시,8435038532,288907
20250902,서울 강남구,139137998312,2827352
20250903,강원 춘천시,8506024605,282359
20250903,서울 강남구,131917583635,2806825
20250904,강원 춘천시,8132062018,273929
20250904,서울 강남구,129345274090,2879801
20250905,강원 춘천시,9392120694,302108
20250905,서울 강남구,142798641614,2949680
20250906,강원 춘천시,9518244744,288508
20250906,서울 강남구,83153859740,2661810
20250907,강원 춘천시,7317553393,267267
20250907,서울 강남구,60393528710,2388142
20250908,강원 춘천시,8411297557,281893
20250908,서울 강남구,144704289298,2748567
20250909,강원 춘천시,7847916840,278584
20250909,서울 강남구,139960871804,2709573
20250910,강원 춘천시,9430684228,281545
20250910,서울 강남구,207197352941,3178909
20250911,강원 춘천시,8838537177,284890
20250911,서울 강남구,138092941765,2839378
20250912,강원 춘천시,13964490014,287774
20250912,서울 강남구,175374828378,2956695
20250913,강원 춘천시,10652378790,318440
20250913,서울 강남구,88291018571,2773809
20250914,강원 춘천시,7264205224,264031
20250914,서울 강남구,63032541813,2419533
20250915,강원 춘천시,27631989516,286638
20250915,서울 강남구,224018825970,3607987
20250916,강원 춘천시,11226172104,265334
20250916,서울 강남구,147668889351,2696110
20250917,강원 춘천시,7602155425,244707
20250917,서울 강남구,136593274319,2705260
20250918,강원 춘천시,8115042615,283168
20250918,서울 강남구,147769202130,2929676
20250919,강원 춘천시,9520842829,277539
20250919,서울 강남구,169154973346,2842018
20250920,강원 춘천시,10601025794,317110
20250920,서울 강남구,93587761238,2848024
20250921,강원 춘천시,8044189754,274644
20250921,서울 강남구,67561313994,2519909
20250922,강원 춘천시,9391117922,287157
20250922,서울 강남구,195840861993,3252299
20250923,강원 춘천시,9926134781,291426
20250923,서울 강남구,199909369094,2959892
20250924,강원 춘천시,13046633534,265901
20250924,서울 강남구,198730465555,3027759
20250925,강원 춘천시,17568065510,301136
20250925,서울 강남구,277554523383,3650413
20250926,강원 춘천시,20131123615,320670
