TA_YMD,MCT_SGG_CD,TS_AT,USE_CNT
20250701,강원 춘천시,9837406760,256203
20250701,서울 강남구,162641015824,3004630
20250702,강원 춘천시,8863857627,259472
20250702,서울 강남구,129717582651,2918398
20250703,강원 춘천시,7924855467,260324
20250703,서울 강남구,132507518557,2908168
20250704,강원 춘천시,9103802482,271573
20250704,서울 강남구,153765872688,3055099
20250705,강원 춘천시,10393978823,315083
20250705,서울 강남구,87365790976,2790121
20250706,강원 춘천시,7149081660,249607
20250706,서울 강남구,60478421188,2392650
20250707,강원 춘천시,8383055386,259413
20250707,서울 강남구,147999777318,2891953
20250708,강원 춘천시,7983727073,254842
20250708,서울 강남구,134763804759,2737523
20250709,강원 춘천시,7848169107,253075
20250709,서울 강남구,141321419233,2843972
20250710,강원 춘천시,9147385370,259201
20250710,서울 강남구,204041201690,3206038
20250711,강원 춘천시,10243190560,285266
20250711,서울 강남구,154751586260,2967035
20250712,강원 춘천시,10022636581,319337
20250712,서울 강남구,93313853937,2814401
20250713,강원 춘천시,6555581892,232899
20250713,서울 강남구,60917958207,2303929
20250714,강원 춘천시,19997647444,245026
20250714,서울 강남구,183524687581,3042234
20250715,강원 춘천시,22283092202,249769
20250715,서울 강남구,200261654075,3195845
20250716,강원 춘천시,8401039764,227669
20250716,서울 강남구,132526532747,2544467
20250717,강원 춘천시,7147164607,226762
20250717,서울 강남구,130356907878,2579031
20250718,강원 춘천시,9558071291,271141
20250718,서울 강남구,159058535416,2836175
20250719,강원 춘천시,9345938072,290480
20250719,서울 강남구,85340579960,2627342
20250720,강원 춘천시,7441507871,250288
20250720,서울 강남구,63442429764,2432704
20250721,강원 춘천시,8270719671,262646
20250721,서울 강남구,186605263075,3145908
20250722,강원 춘천시,9076268411,262203
20250722,서울 강남구,183261175660,2861408
20250723,강원 춘천시,10042641515,266975
20250723,서울 강남구,201523151225,2903163
20250724,강원 춘천시,11282704158,273565
20250724,서울 강남구,268352373133,3206682
20250725,강원 춘천시,15662064147,301404
20250725,서울 강남구,365526532862,3641817
20250726,강원 춘천시,11338054063,331966
20250726,서울 강남구,92031668936,2775185
20250727,강원 춘천시,7586543616,260993
20250727,서울 강남구,62071779008,2393529
20250728,강원 춘천시,16061175290,292710
20250728,서울 강남구,225477516548,2937359
20250729,강원 춘천시,22928070580,286769
20250729,서울 강남구,225500580581,2929300
20250730,강원 춘천시,14342252384,289553
20250730,서울 강남구,204198909960,2954513
20250731,강원 춘천시,12763811159,291852
20250731,서울 강남구,250429865314,3089917
20250801,강원 춘천시,10619453663,303414
20250801,서울 강남구,149940768769,3094737
20250802,강원 춘천시,10505407312,323393
20250802,서울 강남구,85306751013,2709615
20250803,강원 춘천시,7421852631,251026
20250803,서울 강남구,56930104051,2246015
20250804,강원 춘천시,9244721037,275289
20250804,서울 강남구,142273037815,2841009
20250805,강원 춘천시,9037090869,272865
20250805,서울 강남구,133822725143,2843891
