TA_YMD,MCT_SGG_CD,TS_AT,USE_CNT
20250701,강원 춘천시,8155332793,249967
20250701,서울 강남구,80876601918,2296565
20250702,강원 춘천시,7756297739,253450
20250702,서울 강남구,69517922171,2274630
20250703,강원 춘천시,7725332287,255176
20250703,서울 강남구,71265713890,2272829
20250704,강원 춘천시,8988031823,265935
20250704,서울 강남구,72840623652,2260401
20250705,강원 춘천시,10125089106,308009
20250705,서울 강남구,70186456132,2227595
20250706,강원 춘천시,7067788056,244360
20250706,서울 강남구,47650785087,1907528
20250707,강원 춘천시,7887313833,253761
20250707,서울 강남구,79109518846,2283926
20250708,강원 춘천시,7644269650,249210
20250708,서울 강남구,68701616344,2159263
20250709,강원 춘천시,7556398517,247225
20250709,서울 강남구,73082733977,2264146
20250710,강원 춘천시,7589777161,253230
20250710,서울 강남구,91033508620,2582067
20250711,강원 춘천시,8621746076,278212
20250711,서울 강남구,74697021008,2374764
20250712,강원 춘천시,9715586046,312356
20250712,서울 강남구,74026305385,2288258
20250713,강원 춘천시,6437257341,227531
20250713,서울 강남구,47990546624,1886466
20250714,강원 춘천시,7457928040,237993
20250714,서울 강남구,73640888946,2248251
20250715,강원 춘천시,7939048396,243258
20250715,서울 강남구,96309379477,2461505
20250716,강원 춘천시,7538383681,222500
20250716,서울 강남구,68998530711,1997761
20250717,강원 춘천시,6905900385,222197
20250717,서울 강남구,65501305555,2052915
20250718,강원 춘천시,8544684038,265542
20250718,서울 강남구,72845831439,2238910
20250719,강원 춘천시,9215902293,284378
20250719,서울 강남구,67026629993,2121455
20250720,강원 춘천시,7331044134,245164
20250720,서울 강남구,47414615024,1944673
20250721,강원 춘천시,7809016690,256035
20250721,서울 강남구,85702738975,2453304
20250722,강원 춘천시,7920277083,255831
20250722,서울 강남구,75435043111,2213729
20250723,강원 춘천시,7977508907,261369
20250723,서울 강남구,73538520742,2237093
20250724,강원 춘천시,8037904710,267230
20250724,서울 강남구,89828857830,2527179
20250725,강원 춘천시,9484069300,294209
20250725,서울 강남구,113943409691,2873081
20250726,강원 춘천시,10512245716,325218
20250726,서울 강남구,70217137596,2238812
20250727,강원 춘천시,7468195847,255529
20250727,서울 강남구,46667153702,1939246
20250728,강원 춘천시,9056489241,285414
20250728,서울 강남구,80765687768,2248976
20250729,강원 춘천시,8747081639,279990
20250729,서울 강남구,84025982546,2232895
20250730,강원 춘천시,8766679789,282592
20250730,서울 강남구,78322279364,2266382
20250731,강원 춘천시,9202747901,285544
20250731,서울 강남구,87346616408,2386258
20250801,강원 춘천시,9981766809,297365
20250801,서울 강남구,82795283786,2413319
20250802,강원 춘천시,10356799208,316754
20250802,서울 강남구,67181426796,2167144
20250803,강원 춘천시,7336420837,245860
20250803,서울 강남구,44982562418,1825642
20250804,강원 춘천시,8478073379,269383
20250804,서울 강남구,77716473467,2220434
20250805,강원 춘천시,8292428722,266156
20250805,서울 강남구,74197482506,2261311
20250806,강원 춘천시,6919436592,228007
20250806,서울 강남구,65972256635,2100771
20250807,강원 춘천시,8449794236,264854
20250807,서울 강남구,68564783956,2264820
20250808,강원 춘천시,8930808586,285540
20250808,서울 강남구,73902394763,2306734
20250809,강원 춘천시,9876740016,307346
20250809,서울 강남구,65971589339,2158058
20250810,강원 춘천시,6630248357,245500
20250810,서울 강남구,45051236680,1875630
20250811,강원 춘천시,8050896842,264239
20250811,서울 강남구,86860351629,2404293
20250812,강원 춘천시,8073824317,262969
20250812,서울 강남구,67677761416,2177453
20250813,강원 춘천시,6579236563,215944
20250813,서울 강남구,64084892383,2000468
20250814,강원 춘천시,8156423622,272101
20250814,서울 강남구,78790054229,2427093
20250815,강원 춘천시,9499836736,302978
20250815,서울 강남구,52061875301,2008041
20250816,강원 춘천시,9886449108,315327
20250816,서울 강남구,59101614972,2099794
20250817,강원 춘천시,6921301593,248966
20250817,서울 강남구,42855804452,1835949
20250818,강원 춘천시,8057313724,259863
20250818,서울 강남구,86769384738,2437501
20250819,강원 춘천시,8137458448,255678
20250819,서울 강남구,69103279026,2158863
20250820,강원 춘천시,7890464716,253248
20250820,서울 강남구,86897058513,2473255
20250821,강원 춘천시,7924403360,251657
20250821,서울 강남구,72074517395,2257050
20250822,강원 춘천시,8841748325,283449
20250822,서울 강남구,78891273593,2298353
20250823,강원 춘천시,9831985866,312485
20250823,서울 강남구,69733615866,2235289
20250824,강원 춘천시,6548794599,238050
20250824,서울 강남구,46820389666,1858637
20250825,강원 춘천시,7970045700,258010
20250825,서울 강남구,120752855061,2948591
20250826,강원 춘천시,8166584959,246756
20250826,서울 강남구,80001681653,2155361
20250827,강원 춘천시,8735977439,261002
20250827,서울 강남구,81130894708,2322411
20250828,강원 춘천시,8361294381,261566
20250828,서울 강남구,79540507360,2250227
20250829,강원 춘천시,9643053730,283878
20250829,서울 강남구,90469928283,2323223
20250830,강원 춘천시,10405932192,315274
20250830,서울 강남구,72252707302,2210727
20250831,강원 춘천시,7194646523,251920
20250831,서울 강남구,49516630790,1961280
20250901,강원 춘천시,7665551172,255122
20250901,서울 강남구,76133798898,2236440
20250902,강원 춘천시,8168928585,277558
20250902,서울 강남구,71240735830,2206954
20250903,강원 춘천시,8015773601,272400
20250903,서울 강남구,68177822846,2178917
20250904,강원 춘천시,7662896563,264750
20250904,서울 강남구,62453847895,2135705
20250905,강원 춘천시,9205647578,291389
20250905,서울 강남구,72441501381,2328640
20250906,강원 춘천시,9373521663,276471
