TA_YMD,MCT_SGG_CD,visitor_type,TS_AT,USE_CNT
20250701,강원 춘천시,외부방문객,2536824110,33553
20250701,강원 춘천시,정보없음,6349235,149
20250701,강원 춘천시,지역주민,7294233415,222501
20250701,서울 강남구,외부방문객,98565904246,1761112
20250701,서울 강남구,정보없음,199085155,1499
20250701,서울 강남구,지역주민,63876026423,1242019
20250702,강원 춘천시,외부방문객,1875492405,35876
20250702,강원 춘천시,정보없음,2781313,122
20250702,강원 춘천시,지역주민,6985583909,223474
20250702,서울 강남구,외부방문객,78109225613,1689581
20250702,서울 강남구,정보없음,127597587,1615
20250702,서울 강남구,지역주민,51480759451,1227202
20250703,강원 춘천시,외부방문객,1178153592,36394
20250703,강원 춘천시,정보없음,2830563,139
20250703,강원 춘천시,지역주민,6743871312,223791
20250703,서울 강남구,외부방문객,78356203433,1685931
20250703,서울 강남구,정보없음,232741294,1597
20250703,서울 강남구,지역주민,53918573830,1220640
20250704,강원 춘천시,외부방문객,1767984881,39809
20250704,강원 춘천시,정보없음,4166415,194
20250704,강원 춘천시,지역주민,7331651186,231570
20250704,서울 강남구,외부방문객,93545124294,1786305
20250704,서울 강남구,정보없음,127029796,1638
20250704,서울 강남구,지역주민,60093718598,1267156
20250705,강원 춘천시,외부방문객,2527065686,64874
20250705,강원 춘천시,정보없음,9635748,199
20250705,강원 춘천시,지역주민,7857277389,250010
20250705,서울 강남구,외부방문객,47129198145,1672708
20250705,서울 강남구,정보없음,54517116,1367
20250705,서울 강남구,지역주민,40182075715,1116046
20250706,강원 춘천시,외부방문객,1715069986,49997
20250706,강원 춘천시,정보없음,4332721,157
20250706,강원 춘천시,지역주민,5429678953,199453
20250706,서울 강남구,외부방문객,34094572494,1478574
20250706,서울 강남구,정보없음,31068208,1267
20250706,서울 강남구,지역주민,26352780486,912809
20250707,강원 춘천시,외부방문객,1414446145,36603
20250707,강원 춘천시,정보없음,4748251,149
20250707,강원 춘천시,지역주민,6963860990,222661
20250707,서울 강남구,외부방문객,95446316834,1694722
20250707,서울 강남구,정보없음,156360874,1530
20250707,서울 강남구,지역주민,52397099610,1195701
20250708,강원 춘천시,외부방문객,1246897994,37015
20250708,강원 춘천시,정보없음,4579244,149
20250708,강원 춘천시,지역주민,6732249835,217678
20250708,서울 강남구,외부방문객,85916703273,1589075
20250708,서울 강남구,정보없음,67326881,1350
20250708,서울 강남구,지역주민,48779774605,1147098
20250709,강원 춘천시,외부방문객,1293399866,35798
20250709,강원 춘천시,정보없음,9508217,172
20250709,강원 춘천시,지역주민,6545261024,217105
20250709,서울 강남구,외부방문객,90667787918,1647473
20250709,서울 강남구,정보없음,188872295,1500
20250709,서울 강남구,지역주민,50464759020,1194999
20250710,강원 춘천시,외부방문객,1307130285,36493
20250710,강원 춘천시,정보없음,3781653,143
20250710,강원 춘천시,지역주민,7836473432,222565
20250710,서울 강남구,외부방문객,134731734095,1945524
20250710,서울 강남구,정보없음,238828693,1730
20250710,서울 강남구,지역주민,69070638902,1258784
20250711,강원 춘천시,외부방문객,1481951569,41442
20250711,강원 춘천시,정보없음,5430129,192
20250711,강원 춘천시,지역주민,8755808862,243632
20250711,서울 강남구,외부방문객,92369698642,1708897
20250711,서울 강남구,정보없음,192955284,1518
20250711,서울 강남구,지역주민,62188932334,1256620
20250712,강원 춘천시,외부방문객,2254712589,65351
20250712,강원 춘천시,정보없음,9864710,235
20250712,강원 춘천시,지역주민,7758059282,253751
20250712,서울 강남구,외부방문객,51124876630,1691994
20250712,서울 강남구,정보없음,24815526,1150
20250712,서울 강남구,지역주민,42164161781,1121257
20250713,강원 춘천시,외부방문객,1671741001,48878
20250713,강원 춘천시,정보없음,4939120,90
20250713,강원 춘천시,지역주민,4878901771,183931
20250713,서울 강남구,외부방문객,34848614462,1428022
20250713,서울 강남구,정보없음,19852499,1023
20250713,서울 강남구,지역주민,26049491246,874884
20250714,강원 춘천시,외부방문객,6697342475,35107
20250714,강원 춘천시,정보없음,4055493,132
20250714,강원 춘천시,지역주민,13296249476,209787
20250714,서울 강남구,외부방문객,126105703739,1881775
20250714,서울 강남구,정보없음,152497715,1478
20250714,서울 강남구,지역주민,57266486127,1158981
20250715,강원 춘천시,외부방문객,4069643688,35404
20250715,강원 춘천시,정보없음,10671347,154
20250715,강원 춘천시,지역주민,18202777167,214211
20250715,서울 강남구,외부방문객,130840207786,1928677
20250715,서울 강남구,정보없음,182502237,1823
20250715,서울 강남구,지역주민,69238944052,1265345
20250716,강원 춘천시,외부방문객,1141496100,30942
20250716,강원 춘천시,정보없음,4648253,161
20250716,강원 춘천시,지역주민,7254895411,196566
20250716,서울 강남구,외부방문객,81239343078,1490855
20250716,서울 강남구,정보없음,165503505,1413
20250716,서울 강남구,지역주민,51121686164,1052199
20250717,강원 춘천시,외부방문객,845421914,28146
20250717,강원 춘천시,정보없음,5391825,153
20250717,강원 춘천시,지역주민,6296350868,198463
20250717,서울 강남구,외부방문객,78147856117,1503303
20250717,서울 강남구,정보없음,74299904,1335
20250717,서울 강남구,지역주민,52134751857,1074393
20250718,강원 춘천시,외부방문객,1357750712,36855
20250718,강원 춘천시,정보없음,8363973,226
20250718,강원 춘천시,지역주민,8191956606,234060
20250718,서울 강남구,외부방문객,97305858767,1624769
20250718,서울 강남구,정보없음,113341550,1606
20250718,서울 강남구,지역주민,61639335099,1209800
20250719,강원 춘천시,외부방문객,1802657917,52672
20250719,강원 춘천시,정보없음,7179366,240
20250719,강원 춘천시,지역주민,7536100789,237568
20250719,서울 강남구,외부방문객,46453764205,1572630
20250719,서울 강남구,정보없음,33759901,1252
20250719,서울 강남구,지역주민,38853055854,1053460
20250720,강원 춘천시,외부방문객,1624623934,47335
20250720,강원 춘천시,정보없음,6008214,185
20250720,강원 춘천시,지역주민,5810875723,202768
20250720,서울 강남구,외부방문객,36847436496,1504537
20250720,서울 강남구,정보없음,31017247,1415
20250720,서울 강남구,지역주민,26563976021,926752
20250721,강원 춘천시,외부방문객,1170750268,36301
20250721,강원 춘천시,정보없음,5261410,115
20250721,강원 춘천시,지역주민,7094707993,226230
20250721,서울 강남구,외부방문객,124890775656,1906211
20250721,서울 강남구,정보없음,205811827,1657
20250721,서울 강남구,지역주민,61508675592,1238040
20250722,강원 춘천시,외부방문객,1777555468,38352
20250722,강원 춘천시,정보없음,13447177,124
20250722,강원 춘천시,지역주민,7285265766,223727
20250722,서울 강남구,외부방문객,119107770102,1644459
20250722,서울 강남구,정보없음,259923268,1685
20250722,서울 강남구,지역주민,63893482290,1215264
20250723,강원 춘천시,외부방문객,2348489121,38725
20250723,강원 춘천시,정보없음,14245825,144
20250723,강원 춘천시,지역주민,7679906569,228106
20250723,서울 강남구,외부방문객,134556925971,1683149
20250723,서울 강남구,정보없음,352364209,1945
20250723,서울 강남구,지역주민,66613861045,1218069
20250724,강원 춘천시,외부방문객,2137927592,39651
20250724,강원 춘천시,정보없음,8462016,136
20250724,강원 춘천시,지역주민,9136314550,233778
20250724,서울 강남구,외부방문객,185633563838,1920442
20250724,서울 강남구,정보없음,769927432,2303
20250724,서울 강남구,지역주민,81948881863,1283937
20250725,강원 춘천시,외부방문객,3636282016,46271
20250725,강원 춘천시,정보없음,8912926,171
20250725,강원 춘천시,지역주민,12016869205,254962
20250725,서울 강남구,외부방문객,263058240613,2257531
20250725,서울 강남구,정보없음,585568117,2396
20250725,서울 강남구,지역주민,101882724132,1381890
20250726,강원 춘천시,외부방문객,2735564113,69730
20250726,강원 춘천시,정보없음,9266204,262
20250726,강원 춘천시,지역주민,8593223746,261974
20250726,서울 강남구,외부방문객,50329509240,1661968
20250726,서울 강남구,정보없음,37013175,1410
20250726,서울 강남구,지역주민,41665146521,1111807
20250727,강원 춘천시,외부방문객,1994181650,58730
20250727,강원 춘천시,정보없음,4114756,150
20250727,강원 춘천시,지역주민,5588247210,202113
20250727,서울 강남구,외부방문객,35815255583,1493785
20250727,서울 강남구,정보없음,53031365,1408
20250727,서울 강남구,지역주민,26203492060,898336
20250728,강원 춘천시,외부방문객,2977572777,51504
20250728,강원 춘천시,정보없음,5580721,163
20250728,강원 춘천시,지역주민,13078021792,241043
20250728,서울 강남구,외부방문객,142329432353,1712573
20250728,서울 강남구,정보없음,373859197,1878
20250728,서울 강남구,지역주민,82774224998,1222908
20250729,강원 춘천시,외부방문객,5477787963,50716
20250729,강원 춘천시,정보없음,8169412,187
20250729,강원 춘천시,지역주민,17442113205,235866
20250729,서울 강남구,외부방문객,134977397193,1708397
20250729,서울 강남구,정보없음,282624546,1855
20250729,서울 강남구,지역주민,90240558842,1219048
20250730,강원 춘천시,외부방문객,2374312246,52774
20250730,강원 춘천시,정보없음,8162946,217
20250730,강원 춘천시,지역주민,11959777192,236562
20250730,서울 강남구,외부방문객,127508251799,1725837
20250730,서울 강남구,정보없음,385814401,1541
20250730,서울 강남구,지역주민,76304843760,1227135
20250731,강원 춘천시,외부방문객,3163759657,55903
20250731,강원 춘천시,정보없음,12426490,127
20250731,강원 춘천시,지역주민,9587625012,235822
20250731,서울 강남구,외부방문객,164614868447,1828906
20250731,서울 강남구,정보없음,317766629,1970
20250731,서울 강남구,지역주민,85497230238,1259041
20250801,강원 춘천시,외부방문객,2076847184,61380
20250801,강원 춘천시,정보없음,1760334,56
20250801,강원 춘천시,지역주민,8540846145,241978
20250801,서울 강남구,외부방문객,88397547592,1803239
20250801,서울 강남구,정보없음,182475823,1773
20250801,서울 강남구,지역주민,61360745354,1289725
20250802,강원 춘천시,외부방문객,2507909116,75655
20250802,강원 춘천시,정보없음,7085485,211
20250802,강원 춘천시,지역주민,7990412711,247527
20250802,서울 강남구,외부방문객,45944614947,1616824
20250802,서울 강남구,정보없음,69977349,1440
20250802,서울 강남구,지역주민,39292158717,1091351
20250803,강원 춘천시,외부방문객,1860604537,57048
20250803,강원 춘천시,정보없음,6052001,117
20250803,강원 춘천시,지역주민,5555196093,193861
20250803,서울 강남구,외부방문객,31817451793,1379457
20250803,서울 강남구,정보없음,26023248,1251
20250803,서울 강남구,지역주민,25086629010,865307
20250804,강원 춘천시,외부방문객,1894599993,45015
20250804,강원 춘천시,정보없음,5087147,149
20250804,강원 춘천시,지역주민,7345033897,230125
20250804,서울 강남구,외부방문객,89315230704,1646222
20250804,서울 강남구,정보없음,192605653,1667
20250804,서울 강남구,지역주민,52765201458,1193120
20250805,강원 춘천시,외부방문객,1469201519,46024
20250805,강원 춘천시,정보없음,21697432,180
20250805,강원 춘천시,지역주민,7546191918,226661
20250805,서울 강남구,외부방문객,80633215207,1641523
20250805,서울 강남구,정보없음,181384904,1694
20250805,서울 강남구,지역주민,53008125032,1200674
20250806,강원 춘천시,외부방문객,1059162908,34030
20250806,강원 춘천시,정보없음,4560099,158
20250806,강원 춘천시,지역주민,6091558295,198686
20250806,서울 강남구,외부방문객,77329008700,1640935
20250806,서울 강남구,정보없음,154893869,1849
20250806,서울 강남구,지역주민,46507569294,1154278
20250807,강원 춘천시,외부방문객,1630740790,42957
20250807,강원 춘천시,정보없음,11590664,166
20250807,강원 춘천시,지역주민,7198749595,227945
20250807,서울 강남구,외부방문객,85083586273,1618021
20250807,서울 강남구,정보없음,214199541,1513
20250807,서울 강남구,지역주민,50560139950,1200719
20250808,강원 춘천시,외부방문객,1482572410,47464
20250808,강원 춘천시,정보없음,10267498,226
20250808,강원 춘천시,지역주민,7813045050,244718
20250808,서울 강남구,외부방문객,85872846144,1641228
20250808,서울 강남구,정보없음,206801977,1236
20250808,서울 강남구,지역주민,57731157082,1241856
20250809,강원 춘천시,외부방문객,2290841971,65940
20250809,강원 춘천시,정보없음,24828874,232
20250809,강원 춘천시,지역주민,7725753855,248525
20250809,서울 강남구,외부방문객,46244551596,1569534
20250809,서울 강남구,정보없음,42689023,1183
20250809,서울 강남구,지역주민,38010854203,1083983
20250810,강원 춘천시,외부방문객,1663555212,55208
20250810,강원 춘천시,정보없음,6615989,112
20250810,강원 춘천시,지역주민,5058187282,196194
20250810,서울 강남구,외부방문객,40498605556,1425635
20250810,서울 강남구,정보없음,30532809,1262
20250810,서울 강남구,지역주민,25641110746,888028
20250811,강원 춘천시,외부방문객,1802562189,42800
20250811,강원 춘천시,정보없음,8973881,190
20250811,강원 춘천시,지역주민,7478338327,226828
20250811,서울 강남구,외부방문객,126389933415,1839127
20250811,서울 강남구,정보없음,291456088,1572
20250811,서울 강남구,지역주민,67121307157,1237497
20250812,강원 춘천시,외부방문객,2095846092,43543
20250812,강원 춘천시,정보없음,6458705,172
20250812,강원 춘천시,지역주민,11765067453,225690
20250812,서울 강남구,외부방문객,88207274837,1547490
20250812,서울 강남구,정보없음,392977737,1634
20250812,서울 강남구,지역주민,51674627358,1180444
20250813,강원 춘천시,외부방문객,4593397576,31907
20250813,강원 춘천시,정보없음,5054423,98
20250813,강원 춘천시,지역주민,10933934984,189608
20250813,서울 강남구,외부방문객,90373536862,1658369
20250813,서울 강남구,정보없음,152177567,1495
20250813,서울 강남구,지역주민,48783377427,1038820
20250814,강원 춘천시,외부방문객,5008780269,43603
20250814,강원 춘천시,정보없음,3379728,98
20250814,강원 춘천시,지역주민,16676794444,235716
20250814,서울 강남구,외부방문객,104130614941,1799530
20250814,서울 강남구,정보없음,461069211,1623
20250814,서울 강남구,지역주민,67185335453,1220345
20250815,강원 춘천시,외부방문객,4493303903,81662
20250815,강원 춘천시,정보없음,5132100,170
20250815,강원 춘천시,지역주민,9435658333,228338
20250815,서울 강남구,외부방문객,43677968756,1535783
20250815,서울 강남구,정보없음,29886952,1227
20250815,서울 강남구,지역주민,31302476997,959921
20250816,강원 춘천시,외부방문객,2951937676,88490
20250816,강원 춘천시,정보없음,3106598,109
20250816,강원 춘천시,지역주민,7520589427,233887
20250816,서울 강남구,외부방문객,40893116720,1575202
20250816,서울 강남구,정보없음,33133680,1239
20250816,서울 강남구,지역주민,33313802947,1030738
20250817,강원 춘천시,외부방문객,1644356497,54690
20250817,강원 춘천시,정보없음,4602256,143
20250817,강원 춘천시,지역주민,5403554453,199463
20250817,서울 강남구,외부방문객,31137512623,1398927
20250817,서울 강남구,정보없음,34390433,1265
20250817,서울 강남구,지역주민,24101687462,863839
20250818,강원 춘천시,외부방문객,1461183220,38608
20250818,강원 춘천시,정보없음,7176532,190
20250818,강원 춘천시,지역주민,7194663550,227319
20250818,서울 강남구,외부방문객,117696433177,1935286
20250818,서울 강남구,정보없음,244312996,2089
20250818,서울 강남구,지역주민,58033606476,1262474
20250819,강원 춘천시,외부방문객,1259394514,38372
20250819,강원 춘천시,정보없음,5487184,124
20250819,강원 춘천시,지역주민,7404385538,223381
20250819,서울 강남구,외부방문객,83305259958,1583663
20250819,서울 강남구,정보없음,132162692,1623
20250819,서울 강남구,지역주민,54178603313,1178302
20250820,강원 춘천시,외부방문객,1309637455,36700
20250820,강원 춘천시,정보없음,7318472,186
20250820,강원 춘천시,지역주민,7374553959,223218
20250820,서울 강남구,외부방문객,110350478070,1878815
20250820,서울 강남구,정보없음,169234418,1847
20250820,서울 강남구,지역주민,59965119802,1225689
20250821,강원 춘천시,외부방문객,1282699878,36381
20250821,강원 춘천시,정보없음,3775871,146
20250821,강원 춘천시,지역주민,6994449928,222672
20250821,서울 강남구,외부방문객,100121740124,1679942
20250821,서울 강남구,정보없음,217905105,1614
20250821,서울 강남구,지역주민,56979870779,1203381
20250822,강원 춘천시,외부방문객,1573865623,41860
20250822,강원 춘천시,정보없음,5361109,206
20250822,강원 춘천시,지역주민,9191265730,249136
20250822,서울 강남구,외부방문객,104921343230,1688173
20250822,서울 강남구,정보없음,213952876,1583
20250822,서울 강남구,지역주민,64005261909,1251607
20250823,강원 춘천시,외부방문객,2511705188,64377
20250823,강원 춘천시,정보없음,8079258,265
20250823,강원 춘천시,지역주민,7851008972,256408
20250823,서울 강남구,외부방문객,46225923269,1681802
20250823,서울 강남구,정보없음,68351911,1526
20250823,서울 강남구,지역주민,41145879083,1114646
20250824,강원 춘천시,외부방문객,1547175596,50630
20250824,강원 춘천시,정보없음,2793944,115
20250824,강원 춘천시,지역주민,5087082027,193870
20250824,서울 강남구,외부방문객,34054292219,1453295
20250824,서울 강남구,정보없음,21981843,1247
20250824,서울 강남구,지역주민,26467457739,882348
20250825,강원 춘천시,외부방문객,2285579295,39024
20250825,강원 춘천시,정보없음,7187563,169
20250825,강원 춘천시,지역주민,7937003703,225852
20250825,서울 강남구,외부방문객,171838132718,2310078
20250825,서울 강남구,정보없음,258495791,2112
20250825,서울 강남구,지역주민,78601990842,1321985
20250826,강원 춘천시,외부방문객,4013907005,36763
20250826,강원 춘천시,정보없음,4238815,180
20250826,강원 춘천시,지역주민,14676001814,217644
20250826,서울 강남구,외부방문객,152029588036,1612551
20250826,서울 강남구,정보없음,250698523,1822
20250826,서울 강남구,지역주민,78843542064,1176339
20250827,강원 춘천시,외부방문객,4803113088,39644
20250827,강원 춘천시,정보없음,15058155,140
20250827,강원 춘천시,지역주민,16351005519,229138
20250827,서울 강남구,외부방문객,145875816006,1743175
20250827,서울 강남구,정보없음,226119377,1905
20250827,서울 강남구,지역주민,79786893873,1232119
20250828,강원 춘천시,외부방문객,3992154404,39441
20250828,강원 춘천시,정보없음,6973344,225
20250828,강원 춘천시,지역주민,13003052674,229218
20250828,서울 강남구,외부방문객,157252067462,1745429
20250828,서울 강남구,정보없음,332959749,1860
20250828,서울 강남구,지역주민,76238219032,1224324
20250829,강원 춘천시,외부방문객,6275638524,45644
20250829,강원 춘천시,정보없음,10961302,246
20250829,강원 춘천시,지역주민,12826543230,248540
20250829,서울 강남구,외부방문객,188680198589,1750998
20250829,서울 강남구,정보없음,283847007,1530
20250829,서울 강남구,지역주민,91038366574,1243520
20250830,강원 춘천시,외부방문객,2328903175,68187
20250830,강원 춘천시,정보없음,39086482,243
20250830,강원 춘천시,지역주민,8369083835,258647
20250830,서울 강남구,외부방문객,50069128547,1658007
20250830,서울 강남구,정보없음,53274490,1482
20250830,서울 강남구,지역주민,43108668491,1098968
20250831,강원 춘천시,외부방문객,1867756112,54230
20250831,강원 춘천시,정보없음,4490025,163
20250831,강원 춘천시,지역주민,5549846424,207870
20250831,서울 강남구,외부방문객,36461740361,1470020
20250831,서울 강남구,정보없음,24456665,1332
20250831,서울 강남구,지역주민,28169157464,918037
20250901,강원 춘천시,외부방문객,1461791643,43462
20250901,강원 춘천시,정보없음,3707730,123
20250901,강원 춘천시,지역주민,7425163706,219357
20250901,서울 강남구,외부방문객,137744121390,1793987
20250901,서울 강남구,정보없음,476115384,1771
20250901,서울 강남구,지역주민,70093639305,1226148
20250902,강원 춘천시,외부방문객,1433666867,49971
20250902,강원 춘천시,정보없음,9250451,146
20250902,강원 춘천시,지역주민,6992121188,238640
20250902,서울 강남구,외부방문객,83331664069,1620204
20250902,서울 강남구,정보없음,159793739,1500
20250902,서울 강남구,지역주민,55646540441,1205107
20250903,강원 춘천시,외부방문객,1281947620,48449
20250903,강원 춘천시,정보없음,7666968,163
20250903,강원 춘천시,지역주민,7216410011,233575
20250903,서울 강남구,외부방문객,83547843668,1615737
20250903,서울 강남구,정보없음,103905860,1443
20250903,서울 강남구,지역주민,48265834121,1189065
20250904,강원 춘천시,외부방문객,1250992223,44489
20250904,강원 춘천시,정보없음,4123303,116
20250904,강원 춘천시,지역주민,6876946499,229197
20250904,서울 강남구,외부방문객,79934391774,1682186
20250904,서울 강남구,정보없음,216314738,1695
20250904,서울 강남구,지역주민,49194567551,1195338
20250905,강원 춘천시,외부방문객,1548224374,46270
20250905,강원 춘천시,정보없음,5895040,181
20250905,강원 춘천시,지역주민,7838001284,255495
20250905,서울 강남구,외부방문객,91272206256,1691221
20250905,서울 강남구,정보없음,211114194,1764
20250905,서울 강남구,지역주민,51315321159,1256107
20250906,강원 춘천시,외부방문객,1978791182,55570
