TA_YMD,MCT_SGG_CD,visitor_type,TS_AT,USE_CNT
20250701,강원 춘천시,외부방문객,1148221053,32270
20250701,강원 춘천시,정보없음,6248481,144
20250701,강원 춘천시,지역주민,7000863259,217553
20250701,서울 강남구,외부방문객,41071274777,1271191
20250701,서울 강남구,정보없음,40116347,1027
20250701,서울 강남구,지역주민,39765210794,1024347
20250702,강원 춘천시,외부방문객,1162894085,34790
20250702,강원 춘천시,정보없음,2781313,122
20250702,강원 춘천시,지역주민,6590622341,218538
20250702,서울 강남구,외부방문객,35200616940,1242465
20250702,서울 강남구,정보없음,24970047,1244
20250702,서울 강남구,지역주민,34292335184,1030921
20250703,강원 춘천시,외부방문객,1106548618,35252
20250703,강원 춘천시,정보없음,2748870,134
20250703,강원 춘천시,지역주민,6616034799,219790
20250703,서울 강남구,외부방문객,34651133110,1241766
20250703,서울 강남구,정보없음,53607518,1147
20250703,서울 강남구,지역주민,36560973262,1029916
20250704,강원 춘천시,외부방문객,1730982456,38730
20250704,강원 춘천시,정보없음,4166415,194
20250704,강원 춘천시,지역주민,7252882952,227011
20250704,서울 강남구,외부방문객,35791057160,1220512
20250704,서울 강남구,정보없음,30811372,1123
20250704,서울 강남구,지역주민,37018755120,1038766
20250705,강원 춘천시,외부방문객,2348594880,63096
20250705,강원 춘천시,정보없음,9401562,194
20250705,강원 춘천시,지역주민,7767092664,244719
20250705,서울 강남구,외부방문객,34828353857,1276446
20250705,서울 강남구,정보없음,50410067,1112
20250705,서울 강남구,지역주민,35307692208,950037
20250706,강원 춘천시,외부방문객,1669744134,48722
20250706,강원 춘천시,정보없음,4207459,146
20250706,강원 춘천시,지역주민,5393836463,195492
20250706,서울 강남구,외부방문객,24613793224,1135949
20250706,서울 강남구,정보없음,22211453,1002
20250706,서울 강남구,지역주민,23014780410,770577
20250707,강원 춘천시,외부방문객,1274321113,35755
20250707,강원 춘천시,정보없음,4748251,149
20250707,강원 춘천시,지역주민,6608244469,217857
20250707,서울 강남구,외부방문객,42927148722,1268861
20250707,서울 강남구,정보없음,33861504,1236
20250707,서울 강남구,지역주민,36148508620,1013829
20250708,강원 춘천시,외부방문객,1185399891,36106
20250708,강원 춘천시,정보없음,4579244,149
20250708,강원 춘천시,지역주민,6454290515,212955
20250708,서울 강남구,외부방문객,35940482777,1185718
20250708,서울 강남구,정보없음,34192787,999
20250708,서울 강남구,지역주민,32726940780,972546
20250709,강원 춘천시,외부방문객,1250339708,34682
20250709,강원 춘천시,정보없음,9508217,172
20250709,강원 춘천시,지역주민,6296550592,212371
20250709,서울 강남구,외부방문객,37105143661,1242655
20250709,서울 강남구,정보없음,37541491,1094
20250709,서울 강남구,지역주민,35940048825,1020397
20250710,강원 춘천시,외부방문객,1201922469,35253
20250710,강원 춘천시,정보없음,3781653,143
20250710,강원 춘천시,지역주민,6384073039,217834
20250710,서울 강남구,외부방문객,53113526633,1508682
20250710,서울 강남구,정보없음,109859039,1234
20250710,서울 강남구,지역주민,37810122948,1072151
20250711,강원 춘천시,외부방문객,1391789578,40370
20250711,강원 춘천시,정보없음,5422504,187
20250711,강원 춘천시,지역주민,7224533994,237655
20250711,서울 강남구,외부방문객,36880516010,1296735
20250711,서울 강남구,정보없음,26276447,1089
20250711,서울 강남구,지역주민,37790228551,1076940
20250712,강원 춘천시,외부방문객,2160221849,63754
20250712,강원 춘천시,정보없음,9864710,235
20250712,강원 춘천시,지역주민,7545499487,248367
20250712,서울 강남구,외부방문객,36778217667,1323930
20250712,서울 강남구,정보없음,22242715,946
20250712,서울 강남구,지역주민,37225845003,963382
20250713,강원 춘천시,외부방문객,1614334690,47544
20250713,강원 춘천시,정보없음,4808411,85
20250713,강원 춘천시,지역주민,4818114240,179902
20250713,서울 강남구,외부방문객,25430728308,1134825
20250713,서울 강남구,정보없음,16114481,841
20250713,서울 강남구,지역주민,22543703835,750800
20250714,강원 춘천시,외부방문객,1147396945,33713
20250714,강원 춘천시,정보없음,4055493,132
20250714,강원 춘천시,지역주민,6306475602,204148
20250714,서울 강남구,외부방문객,40908266303,1278330
