STD_YM,region,MAN_FLOW_POP_CNT_10G,MAN_FLOW_POP_CNT_20G,MAN_FLOW_POP_CNT_30G,MAN_FLOW_POP_CNT_40G,MAN_FLOW_POP_CNT_50G,MAN_FLOW_POP_CNT_60GU,WMAN_FLOW_POP_CNT_10G,WMAN_FLOW_POP_CNT_20G,WMAN_FLOW_POP_CNT_30G,WMAN_FLOW_POP_CNT_40G,WMAN_FLOW_POP_CNT_50G,WMAN_FLOW_POP_CNT_60GU,BLOCK_CNT
202507,강원 춘천시,128849.23,120129.08,117109.06,157029.91,170715.79,222021.18,121037.01,110885.8,109672.47,151628.11,154658.8,232767.09,757
202507,서울 강남구,327600.7,505487.62,739930.75,837871.25,742610.22,732724.5,339400.29,672178.71,722767.3,715666.57,548116.23,664391.27,2036
202508,강원 춘천시,139487.16,134534.07,119399.76,159712.74,172780.98,223011.25,129435.33,122596.13,113372.16,154313.51,157188.62,234939.25,757
202508,서울 강남구,330567.02,482670.92,697165.39,777991.23,695562.96,698553.21,342643.76,638499.89,679359.78,678195.94,526835.56,641758.21,2036
202509,강원 춘천시,147506.03,163720.94,119258.76,161238.44,174385.5,227838.08,135924.28,150191.77,115310.29,157122.46,160018.91,242316.69,757
202509,서울 강남구,318742.32,485267.35,753550.85,847072.24,747780.91,751415.42,328121.84,661109.78,736216.44,724509.75,559449.15,692180.7,2036
202510,강원 춘천시,138071.61,135243.67,123993.97,163913.03,172192.67,226024.46,128263.91,122713.23,119465.75,157725.15,159256.74,242563.53,757
202510,서울 강남구,318760.13,474777.84,693759.05,771517.89,691474.64,702999.81,326243.52,621688.15,673129.51,676922.53,529146.23,657865.6,2036
202511,강원 춘천시,139245.27,136492.16,117075.02,158034.02,169264.14,222188.06,130077.43,129050.35,112539.36,153982.83,156690.64,236734.39,757
202511,서울 강남구,330591.63,495386.53,733102.97,813423.78,717081.71,731665.52,338887.76,661816.6,711846.56,705942.14,547088.3,678505.97,2036
202512,강원 춘천시,132939.13,126916.52,113229.93,152990.66,165306.73,211392.07,124819.57,117107.11,107387.08,147744.4,150162.4,224397.09,757
202512,서울 강남구,322489.01,480395.07,708799.24,804323.09,711397.79,728283.4,338579.43,642359.66,687390.51,694472.96,539137.72,669217.4,2036
