STD_YM,region,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23,BLOCK_CNT
202507,강원 춘천시,24863.08,16842.86,12245.43,11123.35,11989.47,20161.87,35794.53,60761.0,106012.92,97092.07,103134.22,114568.05,119573.09,117646.59,114914.74,117180.14,120465.47,125811.37,128222.41,99109.52,87342.12,71241.14,49896.06,33521.92,756
202507,서울 강남구,88024.22,58499.78,41637.6,34121.07,34135.63,54301.26,120767.61,241873.97,397158.49,430461.7,437543.56,491389.34,531694.38,527089.25,507297.34,508901.28,517706.08,557546.76,551675.28,408311.84,334444.7,295453.52,239061.4,139836.54,2036
202508,강원 춘천시,27496.61,19190.47,13697.22,12490.35,12683.3,20263.3,36381.66,59404.43,100264.37,98734.28,107715.93,119016.5,123803.09,121600.75,119318.62,121757.05,126011.38,129540.05,132022.43,105809.78,91568.87,74909.41,53489.8,36691.17,756
202508,서울 강남구,88558.89,58688.86,41569.39,34111.53,33815.92,51746.89,113725.07,219926.93,357874.36,402033.96,415003.77,462863.35,507078.9,503564.91,481325.38,487798.2,497196.49,530186.93,520509.95,395678.17,325798.81,287393.22,235119.74,138428.93,2036
202509,강원 춘천시,27915.83,18319.09,13177.14,11804.45,12045.45,18457.26,34864.54,65070.84,120308.1,102807.57,110098.17,120441.82,126657.7,126036.21,126920.28,132504.65,138797.69,141743.4,142059.69,108459.66,91443.35,75683.08,54665.89,37508.32,756
202509,서울 강남구,84979.12,55718.75,39374.13,32617.37,32984.92,52475.9,119841.31,253491.98,410618.97,430454.09,435633.16,488037.17,534658.17,525575.05,511382.44,527195.42,539217.62,565859.75,554865.3,414039.62,335473.22,290964.16,233198.84,136965.76,2036
202510,강원 춘천시,26687.93,18303.94,13456.38,11911.12,11764.14,16774.01,30589.08,57847.21,104455.48,98956.93,109762.55,121047.84,127499.93,128444.56,129771.01,133377.92,136787.0,138603.36,133742.47,100806.07,85644.34,70332.64,50657.97,35332.24,757
202510,서울 강남구,86404.71,56967.6,40205.98,33515.56,33168.75,49616.3,105764.23,219113.23,358875.47,397424.87,415501.39,467186.13,511038.02,503987.28,489499.37,501741.86,509720.43,527071.64,504162.01,382748.39,314850.13,273153.15,222127.43,134752.03,2036
202511,강원 춘천시,26146.33,17790.24,13076.09,11528.67,11382.1,16299.49,29402.12,57498.8,109713.23,99321.63,108454.9,118416.83,125380.88,126738.55,127735.52,132424.37,137231.72,138930.34,129859.8,96263.28,81293.98,66612.7,48657.98,34074.61,757
202511,서울 강남구,86955.84,58217.28,41249.93,34249.18,33548.69,53899.32,111412.9,228650.97,381555.83,419553.11,433321.92,485760.98,533641.34,530358.02,516808.83,528930.75,535011.16,557905.25,535539.62,399334.25,323527.72,279952.65,221926.41,134243.18,2036
202512,강원 춘천시,26300.25,18097.39,13565.49,11934.2,11430.32,15418.8,25783.68,51534.71,103629.56,91346.93,101324.58,113648.46,120373.7,123602.61,123399.82,127170.51,130225.31,130862.85,122411.71,91474.69,78466.32,63761.06,47004.85,34310.94,756
202512,서울 강남구,88842.35,59851.31,42440.89,34455.68,32923.41,54506.47,104934.57,210345.97,362462.44,398857.68,421304.1,479106.12,515470.78,520762.92,516140.57,525255.32,531349.44,553442.33,524948.75,391846.13,320548.45,274793.65,221646.15,140813.26,2036
