STD_YM,region,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN,BLOCK_CNT
202507,강원 춘천시,1810625.62,1810564.42,1807389.46,1799173.75,1885613.34,1837954.5,1644324.31,758
202507,서울 강남구,7882667.89,8157196.28,8169509.19,8197864.46,8341949.81,6422933.78,5200532.66,2036
202508,강원 춘천시,1879036.28,1876630.41,1827870.77,1883685.07,1949203.01,1921142.39,1714743.27,759
202508,서울 강남구,7784899.82,8145593.69,8020118.03,8167171.97,7583804.65,6196891.65,5102634.05,2036
202509,강원 춘천시,1988340.99,2012563.58,1977886.59,2017866.58,2010545.78,1923253.06,1757375.14,760
202509,서울 강남구,7962526.43,8190723.51,8119669.59,8266463.67,8377793.46,6676087.12,5410003.54,2036
202510,강원 춘천시,1835628.45,1858181.07,1934549.8,1917945.09,1930469.55,1940523.5,1808501.53,761
202510,서울 강남구,7065781.71,7566412.16,7877437.08,7902305.88,7731167.83,6194622.01,5108082.29,2036
202511,강원 춘천시,1893673.79,1879935.79,1900759.06,1871613.0,1934510.14,1904353.04,1701361.26,761
202511,서울 강남구,8031001.93,8258019.63,8284005.01,8106702.49,8244343.85,6653999.18,5399605.45,2036
202512,강원 춘천시,1781784.97,1821895.84,1851355.16,1780891.05,1858287.67,1736168.54,1585018.66,762
202512,서울 강남구,7736879.98,8025748.67,7928843.9,7479771.96,8020798.4,6390805.61,5278396.85,2036
