 STD_YM region  FLOW_POP_CNT_MON  FLOW_POP_CNT_SUN  BLOCK_CNT
 202507 강원 춘천시        1810625.62        1644324.31        758
 202507 서울 강남구        7882667.89        5200532.66       2036
 202508 강원 춘천시        1879036.28        1714743.27        759
 202508 서울 강남구        7784899.82        5102634.05       2036
 202509 강원 춘천시        1988340.99        1757375.14        760
 202509 서울 강남구        7962526.43        5410003.54       2036
 202510 강원 춘천시        1835628.45        1808501.53        761
 202510 서울 강남구        7065781.71        5108082.29       2036
 202511 강원 춘천시        1893673.79        1701361.26        761
 202511 서울 강남구        8031001.93        5399605.45       2036
 202512 강원 춘천시        1781784.97        1585018.66        762
 202512 서울 강남구        7736879.98        5278396.85       2036
